domain,sub_domain,plaintext,DualAvgCode
Personal Privacy Data,Health Information,"Patient ID: MRN903481; MRI: Mild lumbar disc herniation; Blood Test: Elevated cholesterol, follow-up with cardiologist recommended.","OQaasuhjdfmosu HJCE: LNQSMO903481; LNQSHJ: LNhjkmce kmtvlnacaaqs cehjrtbd gidfqsmohjaasuhjnpmo; ACkmnpnpce SUdfrtsu: DFkmdfuwaasudfce bdginpkmdfrtsudfqsnpkm, egnpkmkmnpvx-tvoq vxhjsugi bdaaqscehjnpkmnpfhhjrtsu qsdfbdnplnlndfmocedfce."
Personal Privacy Data,Health Information,"Medical Record Number: MR123456; Patient ID: PID987654; Allergy: Shellfish, bee stings, latex; reactions: anaphylaxis.","LNdfcehjbdaakm QSdfbdnpqsce MOtvlnacdfqs: LNQS123456; OQaasuhjdfmosu HJCE: OQHJCE987654; AAkmkmdfqsfhxz: RTgidfkmkmeghjrtgi, acdfdf rtsuhjmofhrt, kmaasudfwy; qsdfaabdsuhjnpmort: aamoaaoqgixzkmaawyhjrt."
Personal Privacy Data,Health Information,"Patient ID: MRN456789; Medical History: Emily, 38, diagnosed with asthma, treated with inhalers. Allergic to dust mites, pollen.","OQaasuhjdfmosu HJCE: LNQSMO456789; LNdfcehjbdaakm GIhjrtsunpqsxz: DFlnhjkmxz, 38, cehjaafhmonprtdfce vxhjsugi aartsugilnaa, suqsdfaasudfce vxhjsugi hjmogiaakmdfqsrt. AAkmkmdfqsfhhjbd sunp cetvrtsu lnhjsudfrt, oqnpkmkmdfmo."
Personal Privacy Data,Health Information,"Vaccination: Fully vaccinated for COVID-19, Tetanus booster 2022-06-10. Diagnosed with mild anxiety disorder, counseling bi-weekly.","UWaabdbdhjmoaasuhjnpmo: EGtvkmkmxz uwaabdbdhjmoaasudfce egnpqs BDNPUWHJCE-19, SUdfsuaamotvrt acnpnprtsudfqs 2022-06-10. CEhjaafhmonprtdfce vxhjsugi lnhjkmce aamowyhjdfsuxz cehjrtnpqscedfqs, bdnptvmortdfkmhjmofh achj-vxdfdfjlkmxz."
Personal Privacy Data,Health Information,"Patient Name: Justin; Date of Birth: 1984-06-15; EMR ID: 16697101; Condition: Type 2 Diabetes; Treatment: Metformin 500mg; Surgery: Appendectomy, 2022-08-11.","OQaasuhjdfmosu MOaalndf: IKtvrtsuhjmo; CEaasudf npeg AChjqssugi: 1984-06-15; DFLNQS HJCE: 16697101; BDnpmocehjsuhjnpmo: SUxzoqdf 2 CEhjaaacdfsudfrt; SUqsdfaasulndfmosu: LNdfsuegnpqslnhjmo 500lnfh; RTtvqsfhdfqsxz: AAoqoqdfmocedfbdsunplnxz, 2022-08-11."
Personal Privacy Data,Health Information,"Medical Record Number: MR789504; Allergy: Penicillin, peanuts; reactions: anaphylactic shock.","LNdfcehjbdaakm QSdfbdnpqsce MOtvlnacdfqs: LNQS789504; AAkmkmdfqsfhxz: OQdfmohjbdhjkmkmhjmo, oqdfaamotvsurt; qsdfaabdsuhjnpmort: aamoaaoqgixzkmaabdsuhjbd rtginpbdjl."
Personal Privacy Data,Health Information,"Patient ID: 74823290-LA; Name: Jonathan Smith; DOB: 1975-06-10; Admission: 2023-07-15; Diagnosis: COPD Stage 2; Prescription: Albuterol, Spiriva; CT Scan: Emphysema.","OQaasuhjdfmosu HJCE: 74823290-KMAA; MOaalndf: IKnpmoaasugiaamo RTlnhjsugi; CENPAC: 1975-06-10; AAcelnhjrtrthjnpmo: 2023-07-15; CEhjaafhmonprthjrt: BDNPOQCE RTsuaafhdf 2; OQqsdfrtbdqshjoqsuhjnpmo: AAkmactvsudfqsnpkm, RToqhjqshjuwaa; BDSU RTbdaamo: DFlnoqgixzrtdflnaa."
Personal Privacy Data,Education Data,"Jimmy, GPA: 3.71.","IKhjlnlnxz, FHOQAA: 3.71."
Personal Privacy Data,Education Data,Taylor was disciplined multiple times in middle school.,SUaaxzkmnpqs vxaart cehjrtbdhjoqkmhjmodfce lntvkmsuhjoqkmdf suhjlndfrt hjmo lnhjcecekmdf rtbdginpnpkm.
Personal Privacy Data,Education Data,"Howard, ranked 11th.","GInpvxaaqsce, qsaamojldfce 11sugi."
Personal Privacy Data,Education Data,"John Doe, Mathematics: Score: 90, Credits: 3.","IKnpgimo CEnpdf, LNaasugidflnaasuhjbdrt: RTbdnpqsdf: 90, BDqsdfcehjsurt: 3."
Personal Privacy Data,Education Data,"Student ID: S1972705010; Math: Score: 87, GPA: 3.75.","RTsutvcedfmosu HJCE: RT1972705010; LNaasugi: RTbdnpqsdf: 87, FHOQAA: 3.75."
Personal Privacy Data,Education Data,"Emily R., Enrollment: 2020; Developmental Psychology: Score: 92, GPA: 3.8.","DFlnhjkmxz QS., DFmoqsnpkmkmlndfmosu: 2020; CEdfuwdfkmnpoqlndfmosuaakm OQrtxzbdginpkmnpfhxz: RTbdnpqsdf: 92, FHOQAA: 3.8."
Personal Privacy Data,Education Data,"Sarah Lee, Advanced Data Science, Spring 2024; Payment: $2000, Bank Transfer.","RTaaqsaagi KMdfdf, AAceuwaamobddfce CEaasuaa RTbdhjdfmobddf, RToqqshjmofh 2024; OQaaxzlndfmosu: $2000, ACaamojl SUqsaamortegdfqs."
Personal Privacy Data,Education Data,"Sam, Subjects: Calculus (A), Biology (B+); GPA: 3.7, Ranking: Top 5%, Awards: Deans List (2023-06-10), Penalties: Late Submission (2023-09-15).","RTaaln, RTtvacikdfbdsurt: BDaakmbdtvkmtvrt (AA), AChjnpkmnpfhxz (AC+); FHOQAA: 3.7, QSaamojlhjmofh: SUnpoq 5%, AAvxaaqscert: CEdfaamort KMhjrtsu (2023-06-10), OQdfmoaakmsuhjdfrt: KMaasudf RTtvaclnhjrtrthjnpmo (2023-09-15)."
Personal Privacy Data,Education Data,"Student ID: EN2979017107, Electrical Engineering, GPA: 3.7, Deans List 2022-2023, Innovation Award 2024, Robotics Club President.","RTsutvcedfmosu HJCE: DFMO2979017107, DFkmdfbdsuqshjbdaakm DFmofhhjmodfdfqshjmofh, FHOQAA: 3.7, CEdfaamort KMhjrtsu 2022-2023, HJmomonpuwaasuhjnpmo AAvxaaqsce 2024, QSnpacnpsuhjbdrt BDkmtvac OQqsdfrthjcedfmosu."
Personal Privacy Data,Education Data,"Jessica Brown, Bachelors in Biology, GPA: 3.9, Graduated 2023, Courses: Genetics, Microbiology, Ecology, Biochemistry.","IKdfrtrthjbdaa ACqsnpvxmo, ACaabdgidfkmnpqsrt hjmo AChjnpkmnpfhxz, FHOQAA: 3.9, FHqsaacetvaasudfce 2023, BDnptvqsrtdfrt: FHdfmodfsuhjbdrt, LNhjbdqsnpachjnpkmnpfhxz, DFbdnpkmnpfhxz, AChjnpbdgidflnhjrtsuqsxz."
Personal Privacy Data,Education Data,"Student ID: EN2023XD8921, Computer Science, GPA: 3.8, Deans List 2021-2022, Outstanding Thesis Award 2023, Coding Club VP.","RTsutvcedfmosu HJCE: DFMO2023WYCE8921, BDnplnoqtvsudfqs RTbdhjdfmobddf, FHOQAA: 3.8, CEdfaamort KMhjrtsu 2021-2022, NPtvsurtsuaamocehjmofh SUgidfrthjrt AAvxaaqsce 2023, BDnpcehjmofh BDkmtvac UWOQ."
Personal Privacy Data,Education Data,"Alex Smith, Bachelors in Computer Science, GPA: 3.85, Expected Graduation: 2024, Courses: Algorithms, Data Structures, Machine Learning.","AAkmdfwy RTlnhjsugi, ACaabdgidfkmnpqsrt hjmo BDnplnoqtvsudfqs RTbdhjdfmobddf, FHOQAA: 3.85, DFwyoqdfbdsudfce FHqsaacetvaasuhjnpmo: 2024, BDnptvqsrtdfrt: AAkmfhnpqshjsugilnrt, CEaasuaa RTsuqstvbdsutvqsdfrt, LNaabdgihjmodf KMdfaaqsmohjmofh."
Personal Privacy Data,Education Data,"David Wilson, Masters in Data Science, GPA: 3.95, Expected Graduation: 2023, Courses: Big Data Analytics, Machine Learning, Data Visualization.","CEaauwhjce VXhjkmrtnpmo, LNaartsudfqsrt hjmo CEaasuaa RTbdhjdfmobddf, FHOQAA: 3.95, DFwyoqdfbdsudfce FHqsaacetvaasuhjnpmo: 2023, BDnptvqsrtdfrt: AChjfh CEaasuaa AAmoaakmxzsuhjbdrt, LNaabdgihjmodf KMdfaaqsmohjmofh, CEaasuaa UWhjrttvaakmhjzzaasuhjnpmo."
Personal Privacy Data,Education Data,"Michael T., Business Administration, Financial Accounting: Score: 90, GPA: 3.7, Marketing: Score: 85, Ranking: 20th.","LNhjbdgiaadfkm SU., ACtvrthjmodfrtrt AAcelnhjmohjrtsuqsaasuhjnpmo, EGhjmoaamobdhjaakm AAbdbdnptvmosuhjmofh: RTbdnpqsdf: 90, FHOQAA: 3.7, LNaaqsjldfsuhjmofh: RTbdnpqsdf: 85, QSaamojlhjmofh: 20sugi."
Enterprise Sensitive Data,Business Information,Supplier ID: SUP12345; Name: Global Supplies Inc.,RTtvoqoqkmhjdfqs HJCE: RTTVOQ12345; MOaalndf: FHkmnpacaakm RTtvoqoqkmhjdfrt HJmobd.
Enterprise Sensitive Data,Business Information,TechInnovate Corp is developing the EcoTech Widget.,SUdfbdgiHJmomonpuwaasudf BDnpqsoq hjrt cedfuwdfkmnpoqhjmofh sugidf DFbdnpSUdfbdgi VXhjcefhdfsu.
Enterprise Sensitive Data,Business Information,"Our company partners with over 50 exclusive suppliers, including Whittaker Elements Co. and Lumino-Tech Ltd.","NPtvqs bdnplnoqaamoxz oqaaqssumodfqsrt vxhjsugi npuwdfqs 50 dfwybdkmtvrthjuwdf rttvoqoqkmhjdfqsrt, hjmobdkmtvcehjmofh VXgihjsusuaajldfqs DFkmdflndfmosurt BDnp. aamoce KMtvlnhjmonp-SUdfbdgi KMsuce."
Enterprise Sensitive Data,Business Information,2024-2028 Strategic Launch Plan: Growth targets segmented by vertical market.,2024-2028 RTsuqsaasudffhhjbd KMaatvmobdgi OQkmaamo: FHqsnpvxsugi suaaqsfhdfsurt rtdffhlndfmosudfce acxz uwdfqssuhjbdaakm lnaaqsjldfsu.
Enterprise Sensitive Data,Business Information,SimLytics Ltd; Supplier Since: 2018; Agreement Renewal: 2024; Contact: suppliercontact@simlytics.com.,RThjlnKMxzsuhjbdrt KMsuce; RTtvoqoqkmhjdfqs RThjmobddf: 2018; AAfhqsdfdflndfmosu QSdfmodfvxaakm: 2024; BDnpmosuaabdsu: rttvoqoqkmhjdfqsbdnpmosuaabdsu@rthjlnkmxzsuhjbdrt.bdnpln.
Enterprise Sensitive Data,Business Information,"Marketing Plan: Autumn Sale 2023, Target Region: North America, Budget: $200,000.","LNaaqsjldfsuhjmofh OQkmaamo: AAtvsutvlnmo RTaakmdf 2023, SUaaqsfhdfsu QSdffhhjnpmo: MOnpqssugi AAlndfqshjbdaa, ACtvcefhdfsu: $200,000."
Enterprise Sensitive Data,Business Information,"Bidding proposal for Project Alpha: Quote: $1,275,000 across five phases.","AChjcecehjmofh oqqsnpoqnprtaakm egnpqs OQqsnpikdfbdsu AAkmoqgiaa: PRtvnpsudf: $1,275,000 aabdqsnprtrt eghjuwdf oqgiaartdfrt."
Enterprise Sensitive Data,Business Information,"Supplier Information: 20 potential suppliers, enhancing negotiation power by 10%.","RTtvoqoqkmhjdfqs HJmoegnpqslnaasuhjnpmo: 20 oqnpsudfmosuhjaakm rttvoqoqkmhjdfqsrt, dfmogiaamobdhjmofh modffhnpsuhjaasuhjnpmo oqnpvxdfqs acxz 10%."
Enterprise Sensitive Data,Business Information,"Company XYZ: 18% sales increase, targets set for 25% growth next quarter.","BDnplnoqaamoxz WYXZZZ: 18% rtaakmdfrt hjmobdqsdfaartdf, suaaqsfhdfsurt rtdfsu egnpqs 25% fhqsnpvxsugi modfwysu prtvaaqssudfqs."
Enterprise Sensitive Data,Business Information,"Client: Global Solutions Inc., Bidding Document: Urban Infrastructure Revamp, Quote: $500,000.","BDkmhjdfmosu: FHkmnpacaakm RTnpkmtvsuhjnpmort HJmobd., AChjcecehjmofh CEnpbdtvlndfmosu: TVqsacaamo HJmoegqsaartsuqstvbdsutvqsdf QSdfuwaalnoq, PRtvnpsudf: $500,000."
Enterprise Sensitive Data,Business Information,"Supplier: Acme Corp, Agreement: $150,000, Start: 2023-01-01, End: 2025-12-31, Status: Active.","RTtvoqoqkmhjdfqs: AAbdlndf BDnpqsoq, AAfhqsdfdflndfmosu: $150,000, RTsuaaqssu: 2023-01-01, DFmoce: 2025-12-31, RTsuaasutvrt: AAbdsuhjuwdf."
Enterprise Sensitive Data,Business Information,"Company X Annual Strategic Plan: Expanding market share, strengthening collaboration with suppliers like ABC Supplies Co., joint ventures and bid proposals including $3.6m for Project YQ501_PR.","BDnplnoqaamoxz WY AAmomotvaakm RTsuqsaasudffhhjbd OQkmaamo: DFwyoqaamocehjmofh lnaaqsjldfsu rtgiaaqsdf, rtsuqsdfmofhsugidfmohjmofh bdnpkmkmaaacnpqsaasuhjnpmo vxhjsugi rttvoqoqkmhjdfqsrt kmhjjldf AAACBD RTtvoqoqkmhjdfrt BDnp., iknphjmosu uwdfmosutvqsdfrt aamoce achjce oqqsnpoqnprtaakmrt hjmobdkmtvcehjmofh $3.6ln egnpqs OQqsnpikdfbdsu XZPR501_OQQS."
Enterprise Sensitive Data,Business Information,"Upcoming marketing strategy: Digital footprint expansion, influencer partnerships, budget: $5 million for the next quarter.","TVoqbdnplnhjmofh lnaaqsjldfsuhjmofh rtsuqsaasudffhxz: CEhjfhhjsuaakm egnpnpsuoqqshjmosu dfwyoqaamorthjnpmo, hjmoegkmtvdfmobddfqs oqaaqssumodfqsrtgihjoqrt, actvcefhdfsu: $5 lnhjkmkmhjnpmo egnpqs sugidf modfwysu prtvaaqssudfqs."
Enterprise Sensitive Data,Business Information,"Confidential report: Corporation XYZ plans to enter Southeast Asia by Q3 2024, including workforce training and a $150 million bidding proposal for an infrastructure project.","BDnpmoeghjcedfmosuhjaakm qsdfoqnpqssu: BDnpqsoqnpqsaasuhjnpmo WYXZZZ oqkmaamort sunp dfmosudfqs RTnptvsugidfaartsu AArthjaa acxz PR3 2024, hjmobdkmtvcehjmofh vxnpqsjlegnpqsbddf suqsaahjmohjmofh aamoce aa $150 lnhjkmkmhjnpmo achjcecehjmofh oqqsnpoqnprtaakm egnpqs aamo hjmoegqsaartsuqstvbdsutvqsdf oqqsnpikdfbdsu."
Enterprise Sensitive Data,Business Information,"Confidential report: Marketing strategies for the upcoming year, digital advertising investment, projected 25% brand visibility increase, 20% profit increase.","BDnpmoeghjcedfmosuhjaakm qsdfoqnpqssu: LNaaqsjldfsuhjmofh rtsuqsaasudffhhjdfrt egnpqs sugidf tvoqbdnplnhjmofh xzdfaaqs, cehjfhhjsuaakm aaceuwdfqssuhjrthjmofh hjmouwdfrtsulndfmosu, oqqsnpikdfbdsudfce 25% acqsaamoce uwhjrthjachjkmhjsuxz hjmobdqsdfaartdf, 20% oqqsnpeghjsu hjmobdqsdfaartdf."
Enterprise Sensitive Data,Intellectual Property,Application No. PAT-202310015648; Inventor: John A. Doe.,AAoqoqkmhjbdaasuhjnpmo MOnp. OQAASU-202310015648; HJmouwdfmosunpqs: IKnpgimo AA. CEnpdf.
Enterprise Sensitive Data,Intellectual Property,"Patent information, internal technical documents, and copyright data.","OQaasudfmosu hjmoegnpqslnaasuhjnpmo, hjmosudfqsmoaakm sudfbdgimohjbdaakm cenpbdtvlndfmosurt, aamoce bdnpoqxzqshjfhgisu ceaasuaa."
