domain,sub_domain,plaintext,Atbash
Personal Privacy Data,Identity Information,"Nationality: Canadian, Gender: Female, ID Card Number: A04971921, Residential Address: 456 Maple Leaf Drive, Vancouver, BC V6T 1Z4, Canada, Date of Birth: 1995-07-12.","Mzgrlmzorgb: Xzmzwrzm, Tvmwvi: Uvnzov, RW Xziw Mfnyvi: Z04971921, Ivhrwvmgrzo Zwwivhh: 456 Nzkov Ovzu Wirev, Ezmxlfevi, YX E6G 1A4, Xzmzwz, Wzgv lu Yrigs: 1995-07-12."
Personal Privacy Data,Identity Information,"Name: Jordan Smith; Date of Birth: April 12, 1985; Country of Residence: Canada; Gender: Non-binary; Occupation: Data Analyst; Contact Number: +01-984-157-8901; Postal Address: 789 Maple Lane, Toronto.","Mznv: Qliwzm Hnrgs; Wzgv lu Yrigs: Zkiro 12, 1985; Xlfmgib lu Ivhrwvmxv: Xzmzwz; Tvmwvi: Mlm-yrmzib; Lxxfkzgrlm: Wzgz Zmzobhg; Xlmgzxg Mfnyvi: +01-984-157-8901; Klhgzo Zwwivhh: 789 Nzkov Ozmv, Glilmgl."
Personal Privacy Data,Identity Information,"Smith, Date of Birth: November 15, 1987, Marital Status: Married, Passport Number: A0947106, Registered Residence: Springfield, Illinois, Residential Address: 456 Elm St., Shelbyville, Illinois.","Hnrgs, Wzgv lu Yrigs: Mlevnyvi 15, 1987, Nzirgzo Hgzgfh: Nziirvw, Kzhhklig Mfnyvi: Z0947106, Ivtrhgvivw Ivhrwvmxv: Hkirmturvow, Roormlrh, Ivhrwvmgrzo Zwwivhh: 456 Von Hg., Hsvoyberoov, Roormlrh."
Personal Privacy Data,Identity Information,"Name: John Doe; Nationality: Canadian; Gender: Male; Marital Status: Single; Date of Birth: May 23, 1993; Residential Address: 123 Maple Street, Toronto, Ontario, A1B 2C3; ID Card Number: CAN123456789; Passport Number: PQ4815162342; Registered Residence: Vancouver, British Columbia.","Mznv: Qlsm Wlv; Mzgrlmzorgb: Xzmzwrzm; Tvmwvi: Nzov; Nzirgzo Hgzgfh: Hrmtov; Wzgv lu Yrigs: Nzb 23, 1993; Ivhrwvmgrzo Zwwivhh: 123 Nzkov Hgivvg, Glilmgl, Lmgzirl, Z1Y 2X3; RW Xziw Mfnyvi: XZM123456789; Kzhhklig Mfnyvi: KJ4815162342; Ivtrhgvivw Ivhrwvmxv: Ezmxlfevi, Yirgrhs Xlofnyrz."
Personal Privacy Data,Identity Information,"James lives at 123 Maple Street, Apt 4, Springfield, IL, 62704. He is associated with family members Mary Doe and Richard Roe. His mobile number is 555-6789. He identifies as male and holds Irish nationality. Household registration states residence at 789 Oak Ridge, Newtown, Ireland.","Qznvh orevh zg 123 Nzkov Hgivvg, Zkg 4, Hkirmturvow, RO, 62704. Sv rh zhhlxrzgvw drgs uznrob nvnyvih Nzib Wlv zmw Irxsziw Ilv. Srh nlyrov mfnyvi rh 555-6789. Sv rwvmgrurvh zh nzov zmw slowh Rirhs mzgrlmzorgb. Slfhvslow ivtrhgizgrlm hgzgvh ivhrwvmxv zg 789 Lzp Irwtv, Mvdgldm, Rivozmw."
Personal Privacy Data,Identity Information,"John Smith, born on January 15, 1990, holds American nationality and resides at 123 Elm Street, Springfield, Illinois. His mobile number is +1-312-555-6789, and his ID card number is IDURITY1234567. He is married to Jane Smith, who can be reached at +1-312-555-6789. They have two children: Emily (16, high school) and Michael (12, middle school). Their address and contact information are the same.","Qlsm Hnrgs, ylim lm Qzmfzib 15, 1990, slowh Znvirxzm mzgrlmzorgb zmw ivhrwvh zg 123 Von Hgivvg, Hkirmturvow, Roormlrh. Srh nlyrov mfnyvi rh +1-312-555-6789, zmw srh RW xziw mfnyvi rh RWFIRGB1234567. Sv rh nziirvw gl Qzmv Hnrgs, dsl xzm yv ivzxsvw zg +1-312-555-6789. Gsvb szev gdl xsrowivm: Vnrob (16, srts hxsllo) zmw Nrxszvo (12, nrwwov hxsllo). Gsvri zwwivhh zmw xlmgzxg rmulinzgrlm ziv gsv hznv."
Personal Privacy Data,Health Information,Medical Record Number: 987-654-321; Patient Name: James.,Nvwrxzo Ivxliw Mfnyvi: 987-654-321; Kzgrvmg Mznv: Qznvh.
Personal Privacy Data,Health Information,The Brian family has a history of heart disease.,Gsv Yirzm uznrob szh z srhglib lu svzig wrhvzhv.
Personal Privacy Data,Health Information,"Patient ID: R567890; Name: Sarah Johnson; Age: 29; Diagnoses: Migraine, Generalized Anxiety Disorder.","Kzgrvmg RW: I567890; Mznv: Hzizs Qlsmhlm; Ztv: 29; Wrztmlhvh: Nrtizrmv, Tvmvizoravw Zmcrvgb Wrhliwvi."
Personal Privacy Data,Health Information,Patient ID: R094713; Name: Jamie Lee; Age: 45; Gender: Female; EMR: EHR-234987.,Kzgrvmg RW: I094713; Mznv: Qznrv Ovv; Ztv: 45; Tvmwvi: Uvnzov; VNI: VSI-234987.
Personal Privacy Data,Health Information,"Individual ID: A1234567; Name: Jane Doe; Age: 34; Genetic Testing: Chromosome 16p11.2 Deletion, Celiac Disease Predisposition.","Rmwrerwfzo RW: Z1234567; Mznv: Qzmv Wlv; Ztv: 34; Tvmvgrx Gvhgrmt: Xsilnlhlnv 16k11.2 Wvovgrlm, Xvorzx Wrhvzhv Kivwrhklhrgrlm."
Personal Privacy Data,Health Information,"Patient Name: Michael; Date of Birth: 1990-12-25; EMR ID: 391741601; Health Condition: Asthma; Treatment: Albuterol Inhaler; Allergies: Dust Mites, Pollen.","Kzgrvmg Mznv: Nrxszvo; Wzgv lu Yrigs: 1990-12-25; VNI RW: 391741601; Svzogs Xlmwrgrlm: Zhgsnz; Givzgnvmg: Zoyfgvilo Rmszovi; Zoovitrvh: Wfhg Nrgvh, Kloovm."
Personal Privacy Data,Health Information,"Ethan, 34, average daily step count: 7,500, sleep: 6.5 hours/night.","Vgszm, 34, zeviztv wzrob hgvk xlfmg: 7,500, hovvk: 6.5 slfih/mrtsg."
Personal Privacy Data,Health Information,"Patient ID: MRN903481; MRI: Mild lumbar disc herniation; Blood Test: Elevated cholesterol, follow-up with cardiologist recommended.","Kzgrvmg RW: NIM903481; NIR: Nrow ofnyzi wrhx svimrzgrlm; Yollw Gvhg: Vovezgvw xslovhgvilo, uloold-fk drgs xziwrloltrhg ivxlnnvmwvw."
Personal Privacy Data,Health Information,"Medical Record Number: MR123456; Patient ID: PID987654; Allergy: Shellfish, bee stings, latex; reactions: anaphylaxis.","Nvwrxzo Ivxliw Mfnyvi: NI123456; Kzgrvmg RW: KRW987654; Zoovitb: Hsvoourhs, yvv hgrmth, ozgvc; ivzxgrlmh: zmzksbozcrh."
Personal Privacy Data,Health Information,"Patient ID: MRN456789; Medical History: Emily, 38, diagnosed with asthma, treated with inhalers. Allergic to dust mites, pollen.","Kzgrvmg RW: NIM456789; Nvwrxzo Srhglib: Vnrob, 38, wrztmlhvw drgs zhgsnz, givzgvw drgs rmszovih. Zoovitrx gl wfhg nrgvh, kloovm."
Personal Privacy Data,Health Information,"Vaccination: Fully vaccinated for COVID-19, Tetanus booster 2022-06-10. Diagnosed with mild anxiety disorder, counseling bi-weekly.","Ezxxrmzgrlm: Ufoob ezxxrmzgvw uli XLERW-19, Gvgzmfh yllhgvi 2022-06-10. Wrztmlhvw drgs nrow zmcrvgb wrhliwvi, xlfmhvormt yr-dvvpob."
Personal Privacy Data,Health Information,"Patient Name: Justin; Date of Birth: 1984-06-15; EMR ID: 16697101; Condition: Type 2 Diabetes; Treatment: Metformin 500mg; Surgery: Appendectomy, 2022-08-11.","Kzgrvmg Mznv: Qfhgrm; Wzgv lu Yrigs: 1984-06-15; VNI RW: 16697101; Xlmwrgrlm: Gbkv 2 Wrzyvgvh; Givzgnvmg: Nvgulinrm 500nt; Hfitvib: Zkkvmwvxglnb, 2022-08-11."
Personal Privacy Data,Health Information,"Medical Record Number: MR789504; Allergy: Penicillin, peanuts; reactions: anaphylactic shock.","Nvwrxzo Ivxliw Mfnyvi: NI789504; Zoovitb: Kvmrxroorm, kvzmfgh; ivzxgrlmh: zmzksbozxgrx hslxp."
Personal Privacy Data,Health Information,"Patient ID: 74823290-LA; Name: Jonathan Smith; DOB: 1975-06-10; Admission: 2023-07-15; Diagnosis: COPD Stage 2; Prescription: Albuterol, Spiriva; CT Scan: Emphysema.","Kzgrvmg RW: 74823290-OZ; Mznv: Qlmzgszm Hnrgs; WLY: 1975-06-10; Zwnrhhrlm: 2023-07-15; Wrztmlhrh: XLKW Hgztv 2; Kivhxirkgrlm: Zoyfgvilo, Hkrirez; XG Hxzm: Vnksbhvnz."
Personal Privacy Data,Education Data,"Jimmy, GPA: 3.71.","Qrnnb, TKZ: 3.71."
Personal Privacy Data,Education Data,Taylor was disciplined multiple times in middle school.,Gzboli dzh wrhxrkormvw nfogrkov grnvh rm nrwwov hxsllo.
Personal Privacy Data,Education Data,"Howard, ranked 11th.","Sldziw, izmpvw 11gs."
Personal Privacy Data,Education Data,"John Doe, Mathematics: Score: 90, Credits: 3.","Qlsm Wlv, Nzgsvnzgrxh: Hxliv: 90, Xivwrgh: 3."
Personal Privacy Data,Education Data,"Student ID: S1972705010; Math: Score: 87, GPA: 3.75.","Hgfwvmg RW: H1972705010; Nzgs: Hxliv: 87, TKZ: 3.75."
Personal Privacy Data,Education Data,"Emily R., Enrollment: 2020; Developmental Psychology: Score: 92, GPA: 3.8.","Vnrob I., Vmiloonvmg: 2020; Wvevolknvmgzo Khbxsloltb: Hxliv: 92, TKZ: 3.8."
Personal Privacy Data,Education Data,"Sarah Lee, Advanced Data Science, Spring 2024; Payment: $2000, Bank Transfer.","Hzizs Ovv, Zwezmxvw Wzgz Hxrvmxv, Hkirmt 2024; Kzbnvmg: $2000, Yzmp Gizmhuvi."
Personal Privacy Data,Education Data,"Sam, Subjects: Calculus (A), Biology (B+); GPA: 3.7, Ranking: Top 5%, Awards: Deans List (2023-06-10), Penalties: Late Submission (2023-09-15).","Hzn, Hfyqvxgh: Xzoxfofh (Z), Yrloltb (Y+); TKZ: 3.7, Izmprmt: Glk 5%, Zdziwh: Wvzmh Orhg (2023-06-10), Kvmzogrvh: Ozgv Hfynrhhrlm (2023-09-15)."
Personal Privacy Data,Education Data,"Student ID: EN2979017107, Electrical Engineering, GPA: 3.7, Deans List 2022-2023, Innovation Award 2024, Robotics Club President.","Hgfwvmg RW: VM2979017107, Vovxgirxzo Vmtrmvvirmt, TKZ: 3.7, Wvzmh Orhg 2022-2023, Rmmlezgrlm Zdziw 2024, Ilylgrxh Xofy Kivhrwvmg."
Personal Privacy Data,Education Data,"Jessica Brown, Bachelors in Biology, GPA: 3.9, Graduated 2023, Courses: Genetics, Microbiology, Ecology, Biochemistry.","Qvhhrxz Yildm, Yzxsvolih rm Yrloltb, TKZ: 3.9, Tizwfzgvw 2023, Xlfihvh: Tvmvgrxh, Nrxilyrloltb, Vxloltb, Yrlxsvnrhgib."
Personal Privacy Data,Education Data,"Student ID: EN2023XD8921, Computer Science, GPA: 3.8, Deans List 2021-2022, Outstanding Thesis Award 2023, Coding Club VP.","Hgfwvmg RW: VM2023CW8921, Xlnkfgvi Hxrvmxv, TKZ: 3.8, Wvzmh Orhg 2021-2022, Lfghgzmwrmt Gsvhrh Zdziw 2023, Xlwrmt Xofy EK."
Personal Privacy Data,Education Data,"Alex Smith, Bachelors in Computer Science, GPA: 3.85, Expected Graduation: 2024, Courses: Algorithms, Data Structures, Machine Learning.","Zovc Hnrgs, Yzxsvolih rm Xlnkfgvi Hxrvmxv, TKZ: 3.85, Vckvxgvw Tizwfzgrlm: 2024, Xlfihvh: Zotlirgsnh, Wzgz Hgifxgfivh, Nzxsrmv Ovzimrmt."
Personal Privacy Data,Education Data,"David Wilson, Masters in Data Science, GPA: 3.95, Expected Graduation: 2023, Courses: Big Data Analytics, Machine Learning, Data Visualization.","Wzerw Drohlm, Nzhgvih rm Wzgz Hxrvmxv, TKZ: 3.95, Vckvxgvw Tizwfzgrlm: 2023, Xlfihvh: Yrt Wzgz Zmzobgrxh, Nzxsrmv Ovzimrmt, Wzgz Erhfzorazgrlm."
Personal Privacy Data,Education Data,"Michael T., Business Administration, Financial Accounting: Score: 90, GPA: 3.7, Marketing: Score: 85, Ranking: 20th.","Nrxszvo G., Yfhrmvhh Zwnrmrhgizgrlm, Urmzmxrzo Zxxlfmgrmt: Hxliv: 90, TKZ: 3.7, Nzipvgrmt: Hxliv: 85, Izmprmt: 20gs."
Enterprise Sensitive Data,Business Information,Supplier ID: SUP12345; Name: Global Supplies Inc.,Hfkkorvi RW: HFK12345; Mznv: Tolyzo Hfkkorvh Rmx.
Enterprise Sensitive Data,Business Information,TechInnovate Corp is developing the EcoTech Widget.,GvxsRmmlezgv Xlik rh wvevolkrmt gsv VxlGvxs Drwtvg.
Enterprise Sensitive Data,Business Information,"Our company partners with over 50 exclusive suppliers, including Whittaker Elements Co. and Lumino-Tech Ltd.","Lfi xlnkzmb kzigmvih drgs levi 50 vcxofhrev hfkkorvih, rmxofwrmt Dsrggzpvi Vovnvmgh Xl. zmw Ofnrml-Gvxs Ogw."
Enterprise Sensitive Data,Business Information,2024-2028 Strategic Launch Plan: Growth targets segmented by vertical market.,2024-2028 Hgizgvtrx Ozfmxs Kozm: Tildgs gzitvgh hvtnvmgvw yb evigrxzo nzipvg.
Enterprise Sensitive Data,Business Information,SimLytics Ltd; Supplier Since: 2018; Agreement Renewal: 2024; Contact: suppliercontact@simlytics.com.,HrnObgrxh Ogw; Hfkkorvi Hrmxv: 2018; Ztivvnvmg Ivmvdzo: 2024; Xlmgzxg: hfkkorvixlmgzxg@hrnobgrxh.xln.
Enterprise Sensitive Data,Business Information,"Marketing Plan: Autumn Sale 2023, Target Region: North America, Budget: $200,000.","Nzipvgrmt Kozm: Zfgfnm Hzov 2023, Gzitvg Ivtrlm: Mligs Znvirxz, Yfwtvg: $200,000."
Enterprise Sensitive Data,Business Information,"Bidding proposal for Project Alpha: Quote: $1,275,000 across five phases.","Yrwwrmt kilklhzo uli Kilqvxg Zoksz: Jflgv: $1,275,000 zxilhh urev kszhvh."
Enterprise Sensitive Data,Business Information,"Supplier Information: 20 potential suppliers, enhancing negotiation power by 10%.","Hfkkorvi Rmulinzgrlm: 20 klgvmgrzo hfkkorvih, vmszmxrmt mvtlgrzgrlm kldvi yb 10%."
Enterprise Sensitive Data,Business Information,"Company XYZ: 18% sales increase, targets set for 25% growth next quarter.","Xlnkzmb CBA: 18% hzovh rmxivzhv, gzitvgh hvg uli 25% tildgs mvcg jfzigvi."
Enterprise Sensitive Data,Business Information,"Client: Global Solutions Inc., Bidding Document: Urban Infrastructure Revamp, Quote: $500,000.","Xorvmg: Tolyzo Hlofgrlmh Rmx., Yrwwrmt Wlxfnvmg: Fiyzm Rmuizhgifxgfiv Iveznk, Jflgv: $500,000."
Enterprise Sensitive Data,Business Information,"Supplier: Acme Corp, Agreement: $150,000, Start: 2023-01-01, End: 2025-12-31, Status: Active.","Hfkkorvi: Zxnv Xlik, Ztivvnvmg: $150,000, Hgzig: 2023-01-01, Vmw: 2025-12-31, Hgzgfh: Zxgrev."
Enterprise Sensitive Data,Business Information,"Company X Annual Strategic Plan: Expanding market share, strengthening collaboration with suppliers like ABC Supplies Co., joint ventures and bid proposals including $3.6m for Project YQ501_PR.","Xlnkzmb C Zmmfzo Hgizgvtrx Kozm: Vckzmwrmt nzipvg hsziv, hgivmtgsvmrmt xloozylizgrlm drgs hfkkorvih orpv ZYX Hfkkorvh Xl., qlrmg evmgfivh zmw yrw kilklhzoh rmxofwrmt $3.6n uli Kilqvxg BJ501_KI."
Enterprise Sensitive Data,Business Information,"Upcoming marketing strategy: Digital footprint expansion, influencer partnerships, budget: $5 million for the next quarter.","Fkxlnrmt nzipvgrmt hgizgvtb: Wrtrgzo ullgkirmg vckzmhrlm, rmuofvmxvi kzigmvihsrkh, yfwtvg: $5 nroorlm uli gsv mvcg jfzigvi."
Enterprise Sensitive Data,Business Information,"Confidential report: Corporation XYZ plans to enter Southeast Asia by Q3 2024, including workforce training and a $150 million bidding proposal for an infrastructure project.","Xlmurwvmgrzo ivklig: Xliklizgrlm CBA kozmh gl vmgvi Hlfgsvzhg Zhrz yb J3 2024, rmxofwrmt dlipulixv gizrmrmt zmw z $150 nroorlm yrwwrmt kilklhzo uli zm rmuizhgifxgfiv kilqvxg."
Enterprise Sensitive Data,Business Information,"Confidential report: Marketing strategies for the upcoming year, digital advertising investment, projected 25% brand visibility increase, 20% profit increase.","Xlmurwvmgrzo ivklig: Nzipvgrmt hgizgvtrvh uli gsv fkxlnrmt bvzi, wrtrgzo zwevigrhrmt rmevhgnvmg, kilqvxgvw 25% yizmw erhryrorgb rmxivzhv, 20% kilurg rmxivzhv."
Enterprise Sensitive Data,Intellectual Property,Application No. PAT-202310015648; Inventor: John A. Doe.,Zkkorxzgrlm Ml. KZG-202310015648; Rmevmgli: Qlsm Z. Wlv.
Enterprise Sensitive Data,Intellectual Property,"Patent information, internal technical documents, and copyright data.","Kzgvmg rmulinzgrlm, rmgvimzo gvxsmrxzo wlxfnvmgh, zmw xlkbirtsg wzgz."
Enterprise Sensitive Data,Intellectual Property,Product design plan for the high-efficiency solar panel prototype.,Kilwfxg wvhrtm kozm uli gsv srts-vuurxrvmxb hlozi kzmvo kilglgbkv.
Enterprise Sensitive Data,Intellectual Property,"Registered design for the digital interface aesthetic, Patent No. 2047-DI-29.","Ivtrhgvivw wvhrtm uli gsv wrtrgzo rmgviuzxv zvhgsvgrx, Kzgvmg Ml. 2047-WR-29."
Enterprise Sensitive Data,Intellectual Property,"Trademark: GlimpseTech, Registration No. 3589274, owned by Visionary Innovations LLC.","Gizwvnzip: TornkhvGvxs, Ivtrhgizgrlm Ml. 3589274, ldmvw yb Erhrlmzib Rmmlezgrlmh OOX."
Enterprise Sensitive Data,Intellectual Property,"Registrant contact: contact@vinnovations.com; Registration date: March 15, 2022.","Ivtrhgizmg xlmgzxg: xlmgzxg@ermmlezgrlmh.xln; Ivtrhgizgrlm wzgv: Nzixs 15, 2022."
Enterprise Sensitive Data,Intellectual Property,"Product test: AlphaV1 Load Test, Result: Pass, Minor latency observed.","Kilwfxg gvhg: ZokszE1 Olzw Gvhg, Ivhfog: Kzhh, Nrmli ozgvmxb lyhvievw."
Enterprise Sensitive Data,Intellectual Property,"Patent ID: US10203456B, Patent owner: TechNova Innovations, Filing date: July 15, 2021.","Kzgvmg RW: FH10203456Y, Kzgvmg ldmvi: GvxsMlez Rmmlezgrlmh, Urormt wzgv: Qfob 15, 2021."
Enterprise Sensitive Data,Intellectual Property,Algorithm ID: A148GH9 — Predictive Market Analysis — Proprietary algorithm by TechInnovate Corp.,Zotlirgsn RW: Z148TS9 — Kivwrxgrev Nzipvg Zmzobhrh — Kilkirvgzib zotlirgsn yb GvxsRmmlezgv Xlik.
Enterprise Sensitive Data,Intellectual Property,"IC790-2023-TR-NV, Confidential Manual for Quantum Processor QPR-X4, with schematics and protocols.","RX790-2023-GI-ME, Xlmurwvmgrzo Nzmfzo uli Jfzmgfn Kilxvhhli JKI-C4, drgs hxsvnzgrxh zmw kilglxloh."
Enterprise Sensitive Data,Intellectual Property,"Blueprints for widget design Version 2.0, including assembly instructions and UI layouts.","Yofvkirmgh uli drwtvg wvhrtm Evihrlm 2.0, rmxofwrmt zhhvnyob rmhgifxgrlmh zmw FR ozblfgh."
Enterprise Sensitive Data,Intellectual Property,"SynthePure Bio-Polymer production formula: SPB-256, polymer chain ratio 1.5:3.4:2.8, catalyst CX-47.","HbmgsvKfiv Yrl-Klobnvi kilwfxgrlm ulinfoz: HKY-256, klobnvi xszrm izgrl 1.5:3.4:2.8, xzgzobhg XC-47."
Enterprise Sensitive Data,Intellectual Property,"Patent-pending design specification PR2023_KURITY, Company Z, including batch performance analysis.","Kzgvmg-kvmwrmt wvhrtm hkvxrurxzgrlm KI2023_PFIRGB, Xlnkzmb A, rmxofwrmt yzgxs kviulinzmxv zmzobhrh."
Enterprise Sensitive Data,Intellectual Property,"Confidential product design plans for Quantum Widget 2.0, including prototype drawings and guidelines.","Xlmurwvmgrzo kilwfxg wvhrtm kozmh uli Jfzmgfn Drwtvg 2.0, rmxofwrmt kilglgbkv wizdrmth zmw tfrwvormvh."
Enterprise Sensitive Data,Intellectual Property,"Modular beam optics design, Prototype #SX2-481, operates with zero-margin error at 60 mph.","Nlwfozi yvzn lkgrxh wvhrtm, Kilglgbkv #HC2-481, lkvizgvh drgs avil-nzitrm viili zg 60 nks."
Enterprise Sensitive Data,Intellectual Property,"Patent No. US2023IP123456 - Smart Sensor System for Autonomous Vehicles, including algorithm synchronization details.","Kzgvmg Ml. FH2023RK123456 - Hnzig Hvmhli Hbhgvn uli Zfglmlnlfh Evsrxovh, rmxofwrmt zotlirgsn hbmxsilmrazgrlm wvgzroh."
Enterprise Sensitive Data,Intellectual Property,"Copyright registration for InnovateSoft, TX-345678-890, and EcoChair Design patent D908776.","Xlkbirtsg ivtrhgizgrlm uli RmmlezgvHlug, GC-345678-890, zmw VxlXszri Wvhrtm kzgvmg W908776."
Enterprise Sensitive Data,Employee Information,"Lucas, lucas@ucc.company.com","Ofxzh, ofxzh@fxx.xlnkzmb.xln"
Enterprise Sensitive Data,Employee Information,"Jane Doe, Department: Development","Qzmv Wlv, Wvkzignvmg: Wvevolknvmg"
Enterprise Sensitive Data,Employee Information,"Employee ID: WN-05721, Name: Jane Smith","Vnkolbvv RW: DM-05721, Mznv: Qzmv Hnrgs"
Enterprise Sensitive Data,Employee Information,Non-Disclosure Agreement: Signed on 2022-03-10,Mlm-Wrhxolhfiv Ztivvnvmg: Hrtmvw lm 2022-03-10
Enterprise Sensitive Data,Employee Information,"Tyler, Software Engineer, Research Department","Gbovi, Hlugdziv Vmtrmvvi, Ivhvzixs Wvkzignvmg"
Enterprise Sensitive Data,Employee Information,"Jordan Collins, Marketing Specialist, jordan.collins@demoenterprise.org","Qliwzm Xloormh, Nzipvgrmt Hkvxrzorhg, qliwzm.xloormh@wvnlvmgvikirhv.lit"
Enterprise Sensitive Data,Employee Information,"Employee ID: WN123456, Phone: +1-555-0123, Email: john.doe@companyemail.com","Vnkolbvv RW: DM123456, Kslmv: +1-555-0123, Vnzro: qlsm.wlv@xlnkzmbvnzro.xln"
Enterprise Sensitive Data,Employee Information,"Employee ID: 123, Salary: $90,000, Bonus: $5,000, Allowances: $2,000, Department: IT","Vnkolbvv RW: 123, Hzozib: $90,000, Ylmfh: $5,000, Zooldzmxvh: $2,000, Wvkzignvmg: RG"
Enterprise Sensitive Data,Employee Information,"Employee ID: EMP-12345, ID Card: XY123456789, Passport: P987654321","Vnkolbvv RW: VNK-12345, RW Xziw: CB123456789, Kzhhklig: K987654321"
Enterprise Sensitive Data,Employee Information,"Employee ID: 10023456, Employment Start: 2020-06-15, 4 years in Software Development","Vnkolbvv RW: 10023456, Vnkolbnvmg Hgzig: 2020-06-15, 4 bvzih rm Hlugdziv Wvevolknvmg"
Enterprise Sensitive Data,Employee Information,"Jackson, Employee ID: JD123456, Position: Software Engineer, Start Date: 2020-01-15, Location: New York Office","Qzxphlm, Vnkolbvv RW: QW123456, Klhrgrlm: Hlugdziv Vmtrmvvi, Hgzig Wzgv: 2020-01-15, Olxzgrlm: Mvd Blip Luurxv"
Enterprise Sensitive Data,Employee Information,"John Doe, Email: John.Doe@companyemail.com, Phone: +1-234-567-8901, Salary: $75,000, Bonus: $5,000, ID: 102934, Full-Time","Qlsm Wlv, Vnzro: Qlsm.Wlv@xlnkzmbvnzro.xln, Kslmv: +1-234-567-8901, Hzozib: $75,000, Ylmfh: $5,000, RW: 102934, Ufoo-Grnv"
Enterprise Sensitive Data,Employee Information,"Employee ID: EM-20230215, Name: Pinkman, Position: Senior Software Engineer, Department: IT & Development, Start Date: 2020-03-15, Phone: (555) 983-4810","Vnkolbvv RW: VN-20230215, Mznv: Krmpnzm, Klhrgrlm: Hvmrli Hlugdziv Vmtrmvvi, Wvkzignvmg: RG & Wvevolknvmg, Hgzig Wzgv: 2020-03-15, Kslmv: (555) 983-4810"
Enterprise Sensitive Data,Employee Information,"Lee, Software Engineer, Employed since 2015-06-01, 8 years experience, Phone: (555) 123-4567, Email: 183938201@gmail.com","Ovv, Hlugdziv Vmtrmvvi, Vnkolbvw hrmxv 2015-06-01, 8 bvzih vckvirvmxv, Kslmv: (555) 123-4567, Vnzro: 183938201@tnzro.xln"
Enterprise Sensitive Data,Employee Information,"John's Salary: $95,000/year, 10% annual bonus, Health Insurance, Retirement Plan, Remote Work Allowances","Qlsm'h Hzozib: $95,000/bvzi, 10% zmmfzo ylmfh, Svzogs Rmhfizmxv, Ivgrivnvmg Kozm, Ivnlgv Dlip Zooldzmxvh"
